record_index,working_ion,electrode_uid,framework_uid,chemical_system_uid,host_chemsys_no_working_ion,coarse_family,battery_formula,formula_charge,formula_discharge,framework_formula,id_charge,id_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,stability_charge,stability_discharge,stability_worst
Li_000000,Li,el_bd4da6eb02eac05f,Li|AgAsF6,Ag-As-F,Ag-As-F,halide_or_fluoride_like,Li0-2AgAsF6,AgAsF6,Li2AgAsF6,AgAsF6,mp-aaaaccyz,mp-aaaclgav,1.689714708333331,172.54419423373443,520.0006314872243,291.55046283426424,878.6527153665833,0.133719155690352,0.0,0.420782301958333,0.420782301958333
Li_000001,Li,el_ded74e08b5c8e751,Li|CsAcO3,Ac-Cs-O,Ac-Cs-O,oxide_like_other,Li0-1CsAcO3,CsAcO3,CsLiAcO3,CsAcO3,mp-aaacpjjn,mp-aaacsist,2.147050163333337,64.60606644586682,371.641866478712,138.71246551492277,797.9337301246248,0.036626417789054,0.21955931,0.30064717833333,0.30064717833333
Li_000002,Li,el_8a0ba3fe86e34778,Li|Ag,Ag,Ag,other_or_unclear,Li0-3Ag,Ag,Li3Ag,Ag,mp-aaaaaaeu,mp-aaabxgwx,0.210565436666666,624.785870642994,1984.8162285987212,131.55830967510573,417.9336958779768,2.736089112284999,0.003609163333333,0.0,0.003609163333333
Li_000003,Li,el_e6483b8050aecae0,Li|AgClO4,Ag-Cl-O,Ag-Cl-O,transition_metal_oxide_like,Li0-1AgClO4,AgClO4,LiAgClO4,AgClO4,mp-aaabfkfm,mp-aaacsibn,1.5458820933333342,125.08870607255253,341.0697949811628,193.3723907957956,527.253688638251,0.317804851549746,0.116593056666666,0.451277650267855,0.451277650267855
Li_000004,Li,el_a57292c5ea11d309,Li|AgF4,Ag-F,Ag-F,halide_or_fluoride_like,Li1-2AgF4,LiAgF4,Li2AgF4,AgF4,mp-aaabrdjy,mp-aaabridp,5.052496508333335,135.53638298898974,532.9991994302926,684.7971018040004,2692.9765940660163,0.05403225841189,0.039348144999996,0.034513521428572,0.039348144999996
Li_000005,Li,el_fd179b3805350736,Li|AgF2,Ag-F,Ag-F,halide_or_fluoride_like,Li0.5-1AgF2,LiAg2F4,LiAgF2,AgF2,mp-aaabqvvo,mp-aaabrefc,4.882004773333329,87.69773445686978,392.0282440438906,428.14075822895705,1913.8837587037567,0.184418083884822,0.118659776428571,0.053544515,0.118659776428571
Li_000006,Li,el_2d91fe42e607ab38,Li|AgF3,Ag-F,Ag-F,halide_or_fluoride_like,Li0-1AgF3,AgF3,LiAgF3,AgF3,mp-aaaabbky,mp-aaabrgmp,5.103887114999998,155.99996069812107,686.2634508200697,796.2061893476463,3502.611184135989,0.078737166489472,0.0,0.056291898999999,0.056291898999999
Li_000007,Li,el_f212d14cd7c2eebf,Li|HoAg(WO4)2,Ag-Ho-O-W,Ag-Ho-O-W,transition_metal_oxide_like,Li0-0.5HoAg(WO4)2,HoAg(WO4)2,LiHo2Ag2(WO4)4,HoAg(WO4)2,mp-aaacqzfd,mp-aaacshww,0.6373623433333411,17.359726552110132,136.64595143784703,11.064435994878936,87.0929838154401,0.025880278158456,0.002085601614583,0.11425475950832,0.11425475950832
Li_000008,Li,el_0b8e3edcce0f7e84,Li|TaNb(AgO3)2,Ag-Nb-O-Ta,Ag-Nb-O-Ta,transition_metal_oxide_like,Li0-1TaNb(AgO3)2,TaNb(AgO3)2,LiTaNb(AgO3)2,TaNb(AgO3)2,mp-aaacrhqp,mp-aaacsjhh,0.7235468433333421,45.23242518736394,328.3908591960602,32.72777846062876,237.6061695508336,0.051324456096997,0.053872661642857,0.299344473614722,0.299344473614722
Li_000009,Li,el_2cfe28a2f7908aa1,Li|AgRuO3,Ag-O-Ru,Ag-O-Ru,transition_metal_oxide_like,Li0-0.25AgRuO3,AgRuO3,LiAg4(RuO3)4,AgRuO3,mp-aaabseeq,mp-aaacshnk,2.55489157333334,25.902994341826684,163.9625433179502,66.1793419680342,418.90652026533377,0.022206307614682,0.057777262999999,0.084179768333331,0.084179768333331
